season,week,player,player_id,team,opponent,stat,line,market_over_prob,model_over_prob,edge,actual_value,actual_over,model_correct,market_correct,model_beat_market
2026,1,Sam Darnold,00-0034869,SEA,NE,pass_yards,229.5,0.5,0.39616713180937246,-0.10383286819062754,,,,,
2026,1,Drake Maye,00-0039851,NE,SEA,pass_yards,221.5,0.5,0.6170782209619503,0.11707822096195031,,,,,
2026,1,Jaxon Smith-Njigba,00-0038543,SEA,NE,rec_yards,87.5,0.5,0.5332268900082822,0.03322689000828216,,,,,
2026,1,Cooper Kupp,00-0033908,SEA,NE,rec_yards,35.5,0.5,0.5032487418653341,0.0032487418653340816,,,,,
2026,1,Hunter Henry,00-0033090,NE,SEA,rec_yards,33.5,0.5,0.6146722106722149,0.11467221067221489,,,,,
2026,1,Drake Maye,00-0039851,NE,SEA,rush_yards,28.5,0.5,0.4898087708067351,-0.010191229193264872,,,,,
2026,1,Sam Darnold,00-0034869,SEA,NE,rush_yards,3.5,0.5,0.5585593903728329,0.058559390372832865,,,,,
2026,1,Rashid Shaheed,00-0037545,SEA,NE,rush_yards,0.5,0.5,0.5892170573018303,0.08921705730183027,,,,,
2026,1,AJ Barner,00-0039793,SEA,NE,rec_yards,27.5,0.5,0.5566123877862996,0.05661238778629962,,,,,
2026,1,Matthew Stafford,00-0026498,LA,SF,pass_yards,264.5,0.5,0.6293469062155859,0.12934690621558587,,,,,
2026,1,Brock Purdy,00-0037834,SF,LA,pass_yards,242.5,0.5,0.5444076232739913,0.04440762327399128,,,,,
2026,1,Davante Adams,00-0031381,LA,SF,rec_yards,54.5,0.5,0.5069146598753871,0.006914659875387086,,,,,
2026,1,Puka Nacua,00-0039075,LA,SF,rec_yards,90.5,0.5,0.6538394489495959,0.1538394489495959,,,,,
2026,1,Christian McCaffrey,00-0033280,SF,LA,rec_yards,40.5,0.5,0.6917851570898539,0.19178515708985389,,,,,
2026,1,Christian McCaffrey,00-0033280,SF,LA,rush_yards,61.5,0.5,0.5298056446546852,0.02980564465468516,,,,,
2026,1,Kyren Williams,00-0037840,LA,SF,rush_yards,59.5,0.5,0.6320993761637081,0.13209937616370815,,,,,
2026,1,Brock Purdy,00-0037834,SF,LA,rush_yards,14.5,0.5,0.5458322988362112,0.045832298836211205,,,,,
2026,1,Puka Nacua,00-0039075,LA,SF,rush_yards,0.5,0.5,0.6375897633943278,0.13758976339432782,,,,,
2026,1,Caleb Williams,00-0039918,CHI,CAR,pass_yards,239.5,0.5,0.46916696674503744,-0.03083303325496256,,,,,
2026,1,Bryce Young,00-0039150,CAR,CHI,pass_yards,196.5,0.5,0.5637603579911388,0.06376035799113877,,,,,
2026,1,Tetairoa McMillan,00-0040124,CAR,CHI,rec_yards,59.5,0.5,0.6070573815422404,0.10705738154224043,,,,,
2026,1,Colston Loveland,00-0040126,CHI,CAR,rec_yards,56.5,0.5,0.5392800627049497,0.03928006270494966,,,,,
2026,1,Luther Burden III,00-0040735,CHI,CAR,rec_yards,54.5,0.5,0.3440252292365835,-0.15597477076341648,,,,,
2026,1,Rome Odunze,00-0039919,CHI,CAR,rec_yards,50.5,0.5,0.5211758000178857,0.02117580001788566,,,,,
2026,1,Caleb Williams,00-0039918,CHI,CAR,rush_yards,19.5,0.5,0.5530156768383689,0.05301567683836894,,,,,
2026,1,Bryce Young,00-0039150,CAR,CHI,rush_yards,14.5,0.5,0.5375821794788554,0.03758217947885545,,,,,
2026,1,Luther Burden III,00-0040735,CHI,CAR,rush_yards,0.5,0.5,0.5416701511776967,0.04167015117769668,,,,,
2026,1,Joe Burrow,00-0036442,CIN,TB,pass_yards,265.5,0.5,0.44420247644303734,-0.05579752355696266,,,,,
